travel_id,station_id,arrive_time,depart_time,distance
1,3,2020-05-17 18:07:00.00,2020-05-17 18:07:00.00,0
1,399,2020-05-17 19:18:00.00,2020-05-17 19:20:00.00,151
1,554,2020-05-17 20:16:00.00,2020-05-17 20:18:00.00,277
1,61,2020-05-17 23:23:00.00,2020-05-17 23:28:00.00,703
1,64,2020-05-17 23:40:00.00,2020-05-17 23:40:00.00,718
2,64,2020-05-17 08:54:00.00,2020-05-17 08:54:00.00,0
2,61,2020-05-17 09:06:00.00,2020-05-17 09:11:00.00,15
2,297,2020-05-17 09:43:00.00,2020-05-17 09:44:00.00,83
2,1113,2020-05-17 10:35:00.00,2020-05-17 10:36:00.00,238
2,399,2020-05-17 12:55:00.00,2020-05-17 12:57:00.00,567
2,3,2020-05-17 14:08:00.00,2020-05-17 14:08:00.00,718
3,3,2020-05-17 18:16:00.00,2020-05-17 18:16:00.00,0
3,1109,2020-05-17 18:58:00.00,2020-05-17 19:00:00.00,83
3,554,2020-05-17 20:22:00.00,2020-05-17 20:24:00.00,277
3,966,2020-05-17 21:36:00.00,2020-05-17 21:37:00.00,299
3,1113,2020-05-17 21:57:00.00,2020-05-17 21:58:00.00,480
3,1382,2020-05-17 22:27:00.00,2020-05-17 22:28:00.00,549
3,61,2020-05-17 23:35:00.00,2020-05-17 23:40:00.00,703
3,64,2020-05-17 23:51:00.00,2020-05-17 23:51:00.00,718
4,64,2020-05-17 07:29:00.00,2020-05-17 07:29:00.00,0
4,61,2020-05-17 07:40:00.00,2020-05-17 07:45:00.00,15
4,1382,2020-05-17 08:46:00.00,2020-05-17 08:48:00.00,169
4,1113,2020-05-17 09:12:00.00,2020-05-17 09:13:00.00,238
4,966,2020-05-17 09:32:00.00,2020-05-17 09:41:00.00,281
4,554,2020-05-17 10:48:00.00,2020-05-17 10:49:00.00,441
4,399,2020-05-17 11:46:00.00,2020-05-17 11:48:00.00,567
4,3,2020-05-17 12:59:00.00,2020-05-17 12:59:00.00,718
5,62,2020-05-17 12:16:00.00,2020-05-17 12:16:00.00,0
5,1644,2020-05-17 12:55:00.00,2020-05-17 12:56:00.00,99
5,1382,2020-05-17 13:16:00.00,2020-05-17 13:18:00.00,154
