station_id,station_name,city_name
1,北京北,北京
2,北京东,北京
3,北京,北京
4,北京南,北京
5,北京西,北京
6,广州南,广州
7,重庆北,重庆
8,重庆,重庆
9,重庆南,重庆
10,重庆西,重庆
11,广州东,广州
12,上海,上海
13,上海南,上海
14,上海虹桥,上海
15,上海西,上海
16,天津北,天津
17,天津,天津
18,天津南,天津
19,天津西,天津
20,香港西九龙,香港
21,长春,长春
22,长春南,长春
23,长春西,长春
24,成都东,成都
25,成都南,成都
26,成都,成都
27,长沙,长沙
28,长沙南,长沙
29,大明湖,济南
30,福州,福州
31,福州南,福州
32,贵阳,贵阳
33,广州,广州
34,广州西,广州
35,哈尔滨,哈尔滨
36,哈尔滨东,哈尔滨
37,哈尔滨西,哈尔滨
38,合肥,合肥
39,合肥西,合肥
40,呼和浩特东,土默特左旗
41,呼和浩特,呼和浩特
42,海口东,海口
43,海口,海口
44,杭州东,杭州
45,杭州,杭州
46,杭州南,杭州
47,济南,济南
48,济南西,济南
49,昆明,昆明
50,昆明西,昆明
51,拉萨,拉萨
52,兰州东,兰州
53,兰州,兰州
54,兰州西,兰州
55,南昌,南昌
56,南京,南京
57,南京南,南京
58,南宁,南宁
59,石家庄北,石家庄
60,石家庄,石家庄
61,沈阳,沈阳
62,沈阳北,沈阳
63,沈阳东,沈阳
64,沈阳南,沈阳
65,太原北,太原
66,太原东,太原
67,太原,太原
68,武汉,武汉
69,王家营西,昆明
70,乌鲁木齐,乌鲁木齐
71,西安北,西安
72,西安,西安
73,西安南,西安
74,西宁,西宁
75,银川,银川
76,郑州,郑州
77,阿尔山,阿尔山
78,安康,安康
79,阿克苏,阿克苏
80,阿里河,鄂伦春自治旗
81,阿拉山口,阿拉山口
82,安平,辽阳
83,安庆,安庆
84,安顺,安顺
85,鞍山,鞍山
86,安阳,安阳
87,北安,北安
88,蚌埠,蚌埠
89,白城,白城
90,北海,北海
91,白河,安图县
92,白涧,涞水县
93,宝鸡,宝鸡
94,滨江,哈尔滨
95,博克图,牙克石
96,百色,百色
97,白山市,白山
98,北台,本溪
99,包头东,包头
100,包头,包头
101,北屯市,阿勒泰
102,本溪,本溪
103,白云鄂博,包头
104,白银西,白银
105,亳州,亳州
106,赤壁,赤壁
107,常德,常德
108,承德,承德
109,长甸,宽甸满族自治县
110,赤峰,赤峰
111,茶陵,株洲
112,苍南,温州
113,昌平,北京
114,崇仁,崇仁县
115,昌图,昌图县
116,长汀镇,海林
117,曹县,曹县
118,楚雄南,楚雄
119,陈相屯,沈阳
120,长治北,长治
121,池州,池州
122,长征,白银
123,常州,常州
124,郴州,郴州
125,长治,长治
126,沧州,沧州
127,崇左,崇左
128,大安北,大安
129,大成,沈阳
130,丹东,丹东
131,东方红,虎林
132,东莞东,东莞
133,大虎山,黑山县
134,敦化,敦化
135,敦煌,敦煌
136,德惠,德惠
137,东京城,宁安
138,大涧,灵丘县
139,都江堰,都江堰
140,大连北,大连
141,大理,大理
142,大连,大连
143,定南,定南县
144,大庆,大庆
145,东胜,鄂尔多斯
146,大石桥,大石桥
147,大同,大同
148,东营,东营
149,大杨树,鄂伦春自治旗
150,都匀,都匀
151,邓州,邓州
152,达州,达州
153,德州,德州
154,额济纳,额济纳旗
155,二连,二连浩特
156,恩施,恩施
157,福鼎,福鼎
158,凤凰机场,三亚
159,风陵渡,芮城县
160,涪陵,重庆
161,富拉尔基,齐齐哈尔
162,抚顺北,抚顺
163,佛山,佛山
164,阜新南,阜新
165,阜阳,阜阳
166,格尔木,格尔木
167,广汉,广汉
168,古交,古交
169,桂林北,桂林
170,古莲,漠河县
171,桂林,桂林
172,固始,固始县
173,广水,广水
174,干塘,中卫
175,广元,广元
176,广州北,广州
177,赣州,赣州
178,公主岭,公主岭
179,公主岭南,公主岭
180,淮安,淮安
181,淮北,淮北
182,鹤北,萝北县
183,淮滨,淮滨县
184,河边,定襄县
185,潢川,潢川县
186,韩城,韩城
187,邯郸,邯郸
188,横道河子,海林
189,鹤岗,鹤岗
190,皇姑屯,沈阳
191,红果,盘州
192,黑河,黑河
193,怀化,怀化
194,汉口,武汉
195,葫芦岛,葫芦岛
196,海拉尔,牙克石
197,霍林郭勒,霍林郭勒
198,海伦,海伦
199,侯马,侯马
200,哈密,哈密
201,淮南,淮南
202,桦南,桦南县
203,海宁西,嘉兴
204,鹤庆,鹤庆县
205,怀柔北,北京
206,怀柔,北京
207,黄石东,黄石
208,华山,华阴
209,黄山,黄山
210,黄石,大冶
211,衡水,衡水
212,衡阳,衡阳
213,菏泽,菏泽
214,贺州,贺州
215,汉中,汉中
216,惠州,惠州
217,吉安,吉安
218,集安,集安
219,江边村,抚州
220,晋城,晋城
221,金城江,河池
222,景德镇,景德镇
223,嘉峰,沁水县
224,加格达奇,大兴安岭
225,井冈山,井冈山
226,蛟河,蛟河
227,金华南,金华
228,金华,金华
229,九江,九江
230,吉林,吉林
231,荆门,荆门
232,佳木斯,佳木斯
233,济宁,济宁
234,集宁南,乌兰察布
235,酒泉,酒泉
236,江山,江山
237,吉首,湘西土家族苗族自治州
238,九台,长春
239,镜铁山,肃南裕固族自治县
240,鸡西,鸡西
241,绩溪县,绩溪县
242,嘉峪关,嘉峪关
243,江油,江油
244,蓟州北,天津
245,金州,大连
246,锦州,锦州
247,库尔勒,库尔勒
248,开封,开封
249,岢岚,岢岚县
250,凯里,凯里
251,喀什,喀什
252,昆山南,昆山
253,奎屯,奎屯
254,开原,开原
255,六安,六安
256,灵宝,灵宝
257,芦潮港,上海
258,利川,利川
259,隆昌,隆昌
260,陆川,陆川县
261,临川,抚州
262,潞城,潞城
263,鹿道,宁安
264,娄底,娄底
265,临汾,临汾
266,良各庄,北京
267,临河,巴彦淖尔
268,漯河,漯河
269,绿化,嘉峪关
270,隆化,隆化县
271,丽江,玉龙纳西族自治县
272,临江,临江
273,龙井,龙井
274,吕梁,吕梁
275,醴陵,醴陵
276,柳林南,柳林县
277,滦平,滦平县
278,六盘水,六盘水
279,灵丘,灵丘县
280,旅顺,大连
281,兰溪,兰溪
282,陇西,陇西县
283,澧县,常德
284,临西,临西县
285,龙岩,龙岩
286,耒阳,衡阳
287,洛阳,洛阳
288,连云港东,连云港
289,洛阳东,洛阳
290,临沂,临沂
291,洛阳龙门,洛阳
292,柳园,瓜州县
293,凌源,凌源
294,辽源,辽源
295,立志,大庆
296,柳州,柳州
297,辽中,沈阳
298,麻城,麻城
299,免渡河,牙克石
300,牡丹江,牡丹江
301,莫尔道嘎,额尔古纳
302,明光,明光
303,满归,根河
304,漠河,漠河县
305,茂名,茂名
306,茂名西,茂名
307,密山,密山
308,马三家,沈阳
309,麻尾,独山县
310,绵阳,绵阳
311,梅州,梅州
312,满洲里,满洲里
313,宁波东,宁波
314,宁波,宁波
315,南岔,伊春
316,南充,南充
317,南丹,南丹县
318,南大庙,滦平县
319,南芬,本溪
320,讷河,讷河
321,嫩江,嫩江县
322,内江,内江
323,南平,南平
324,南通,南通
325,南阳,南阳
326,碾子山,齐齐哈尔
327,平顶山,平顶山
328,盘锦,盘锦
329,平凉,平凉
330,平凉南,平凉
331,平泉,平泉
332,坪石,乐昌
333,萍乡,萍乡
334,凭祥,凭祥
335,郫县西,成都
336,攀枝花,攀枝花
337,蕲春,蕲春县
338,青城山,都江堰
339,青岛,青岛
340,清河城,清河县
341,曲靖,曲靖
342,黔江,重庆
343,前进镇,同江
344,齐齐哈尔,齐齐哈尔
345,七台河,七台河
346,沁县,沁县
347,泉州东,泉州
348,泉州,泉州
349,衢州,衢州
350,融安,融安县
351,汝箕沟,石嘴山
352,瑞金,瑞金
353,日照,日照
354,双城堡,哈尔滨
355,绥芬河,绥芬河
356,韶关东,韶关
357,山海关,秦皇岛
358,绥化,绥化
359,三间房,齐齐哈尔
360,苏家屯,沈阳
361,舒兰,舒兰
362,神木南,神木
363,三门峡,三门峡
364,商南,商南县
365,遂宁,遂宁
366,四平,四平
367,商丘,商丘
368,上饶,上饶
369,韶山,湘潭
370,宿松,宿松县
371,汕头,汕头
372,邵武,邵武
373,涉县,涉县
374,三亚,三亚
375,邵阳,邵阳
376,十堰,十堰
377,三元区,三明
378,双鸭山,双鸭山
379,松原,扶余
380,苏州,苏州
381,深圳,深圳
382,宿州,宿州
383,随州,随州
384,朔州,朔州
385,深圳西,深圳
386,塘豹,通道侗族自治县
387,塔尔气,牙克石
388,潼关,潼关县
389,塘沽,天津
390,塔河,塔河县
391,通化,通化
392,泰来,泰来县
393,吐鲁番,吐鲁番
394,通辽,通辽
395,铁岭,铁岭
396,陶赖昭,扶余
397,图们,图们
398,铜仁,铜仁
399,唐山北,唐山
400,田师府,本溪满族自治县
401,泰山,泰安
402,唐山,唐山
403,天水,天水
404,通远堡,凤城
405,太阳升,大庆
406,泰州,泰州
407,桐梓,桐梓县
408,通州西,北京
409,五常,五常
410,武昌,武汉
411,瓦房店,瓦房店
412,威海,威海
413,芜湖,芜湖
414,乌海西,乌海
415,吴家屯,沈阳
416,乌鲁木齐南,乌鲁木齐
417,武隆,重庆
418,乌兰浩特,乌兰浩特
419,渭南,渭南
420,威舍,兴义
421,歪头山,本溪
422,武威,武威
423,武威南,武威
424,无锡,无锡
425,乌西,乌鲁木齐
426,乌伊岭,伊春
427,武夷山,武夷山
428,万源,万源
429,万州,重庆
430,梧州,梧州
431,温州,温州
432,温州南,温州
433,西昌,西昌
434,许昌,许昌
435,西昌南,西昌
436,锡林浩特,锡林浩特
437,厦门北,厦门
438,厦门,厦门
439,厦门高崎,厦门
440,宣威,宣威
441,新乡,新乡
442,信阳,信阳
443,咸阳,咸阳
444,襄阳,襄阳
445,熊岳城,营口
446,新余,新余
447,徐州,徐州
448,延安,延安
449,宜宾,宜宾
450,亚布力南,尚志
451,叶柏寿,建平县
452,宜昌东,宜昌
453,永川,重庆
454,盐城,盐城
455,宜昌,宜昌
456,运城,运城
457,伊春,伊春
458,榆次,晋中
459,杨村,天津
460,宜春西,宜春
461,伊尔施,阿尔山
462,燕岗,峨眉山
463,永济,永济
464,延吉,延吉
465,营口,营口
466,牙克石,牙克石
467,玉林,玉林
468,阎良,西安
469,榆林,榆林
470,亚龙湾,三亚
471,一面坡,尚志
472,伊宁,伊宁
473,阳平关,宁强县
474,玉屏,玉屏侗族自治县
475,原平,原平
476,延庆,北京
477,阳泉曲,孝义
478,玉泉,哈尔滨
479,阳泉,阳泉
480,营山,营山县
481,玉山,玉山县
482,燕山,北京
483,榆树,榆树
484,鹰潭,鹰潭
485,烟台,烟台
486,伊图里河,牙克石
487,玉田县,玉田县
488,义乌,义乌
489,阳新,阳新县
490,义县,义县
491,益阳,益阳
492,岳阳,岳阳
493,崖州,三亚
494,永州,永州
495,扬州,扬州
496,淄博,淄博
497,镇城底,古交
498,自贡,自贡
499,珠海,珠海
500,珠海北,珠海
501,湛江,湛江
502,镇江,镇江
503,张家界,张家界
504,张家口,张家口
505,周口,周口
506,哲里木,通辽
507,扎兰屯,扎兰屯
508,驻马店,驻马店
509,肇庆,肇庆
510,周水子,大连
511,昭通,昭通
512,中卫,中卫
513,资阳,资阳
514,遵义西,遵义
515,枣庄,枣庄
516,资中,内江
517,株洲,株洲
518,枣庄西,枣庄
519,昂昂溪,齐齐哈尔
520,阿城,哈尔滨
521,安达,安达
522,安德,成都
523,安定,北京
524,安多,安多县
525,安广,大安
526,敖汉,赤峰
527,艾河,涞源县
528,安化,益阳
529,艾家村,同心县
530,安家,五常
531,阿金,阜新蒙古族自治县
532,安靖,成都
533,阿克陶,阿克陶县
534,安口窑,华亭县
535,敖力布告,科尔沁左翼中旗
536,安龙,黔西南布依族苗族自治州
537,阿龙山,根河
538,安陆,安陆
539,阿木尔,漠河县
540,阿南庄,禄丰县
541,安庆西,怀宁县
542,鞍山西,鞍山
543,安塘,岢岚县
544,安亭北,上海
545,阿图什,阿图什
546,安图,安图县
547,安溪,安溪县
548,博鳌,琼海
549,北碚,重庆
550,白壁关,孝义
551,蚌埠南,蚌埠
552,巴楚,巴楚县
553,板城,涞水县
554,北戴河,秦皇岛
555,保定,保定
556,宝坻,天津
557,八达岭,北京
558,巴东,巴东县
559,宝丰,宝丰县
560,柏果,盘州
561,布海,德惠
562,白河东,白河县
563,贲红,察哈尔右翼后旗
564,宝华山,句容
565,白河县,白河县
566,白芨沟,石嘴山
567,碧鸡关,昆明
568,北滘,佛山
569,碧江,佛山
570,白鸡坡,水城县
571,笔架山,集贤县
572,八角台,锦州
573,保康,科尔沁左翼中旗
574,白奎堡,哈尔滨
575,白狼,阿尔山
576,百浪,南宁
577,博乐,博乐
578,宝拉格,察哈尔右翼后旗
579,巴林,牙克石
580,宝林,林口县
581,北流,北流
582,勃利,勃利县
583,布列开,伊宁县
584,宝龙山,科尔沁左翼后旗
585,百里峡,涞水县
586,八面城,昌图县
587,班猫箐,宜良县
588,八面通,穆棱
589,北马圈子,承德
590,北票南,北票
591,白旗,滦平县
592,宝泉岭,萝北县
593,白泉,东丰县
594,巴山,镇巴县
595,白水江,略阳县
596,白沙坡,曲靖
597,白石山,蛟河
598,白水镇,曲靖
599,坂田,深圳
600,泊头,泊头
601,北屯,涞源县
602,本溪湖,本溪
603,博兴,博兴县
604,八仙筒,奈曼旗
605,白音察干,察哈尔右翼后旗
606,背荫河,五常
607,北营,太原
608,巴彦高勒,磴口县
609,白音他拉,奈曼旗
610,鲅鱼圈,营口
611,白银市,白银
612,白音胡硕,科尔沁右翼中旗
613,巴中,巴中
614,霸州,霸州
