city_name,first_code,generatedId,id,py_code,station_name
北京,bjb,0,VAP,Beijingbei,北京北
北京,bjd,0,BOP,Beijingdong,北京东
北京,bj,0,BJP,Beijing,北京
北京,bjn,0,VNP,Beijingnan,北京南
北京,bjx,0,BXP,Beijingxi,北京西
广州,gzn,0,IZQ,Guangzhounan,广州南
重庆,cqb,0,CUW,Chongqingbei,重庆北
重庆,cq,0,CQW,Chongqing,重庆
重庆,cqn,0,CRW,Chongqingnan,重庆南
广州,gzd,0,GGQ,Guangzhoudong,广州东
上海,sh,0,SHH,Shanghai,上海
上海,shn,0,SNH,Shanghainan,上海南
上海,shhq,0,AOH,Shanghaihongqiao,上海虹桥
上海,shx,0,SXH,Shanghaixi,上海西
天津,tjb,0,TBP,Tianjinbei,天津北
天津,tj,0,TJP,Tianjin,天津
天津,tjn,0,TIP,Tianjinnan,天津南
天津,tjx,0,TXP,Tianjinxi,天津西
长春,cc,0,CCT,Changchun,长春
长春,ccn,0,CET,Changchunnan,长春南
长春,ccx,0,CRT,Changchunxi,长春西
成都,cdd,0,ICW,Chengdudong,成都东
成都,cdn,0,CNW,Chengdunan,成都南
成都,cd,0,CDW,Chengdu,成都
长沙,cs,0,CSQ,Changsha,长沙
长沙,csn,0,CWQ,Changshanan,长沙南
福州,fz,0,FZS,Fuzhou,福州
福州,fzn,0,FYS,Fuzhounan,福州南
贵阳,gy,0,GIW,Guiyang,贵阳
广州,gz,0,GZQ,Guangzhou,广州
广州,gzx,0,GXQ,Guangzhouxi,广州西
哈尔滨,heb,0,HBB,Ha'erbin,哈尔滨
哈尔滨,hebd,0,VBB,Ha'erbindong,哈尔滨东
哈尔滨,hebx,0,VAB,Ha'erbinxi,哈尔滨西
合肥,hf,0,HFH,Hefei,合肥
合肥,hfx,0,HTH,Hefeixi,合肥西
呼和浩特,hhhtd,0,NDC,Huhehaotedong,呼和浩特东
呼和浩特,hhht,0,HHC,Huhehaote,呼和浩特
海口,hkd,0,KEQ,Haikoudong,海  口东
海口,hkd,0,HMQ,Haikoudong,海口东
海口,hk,0,VUQ,Haikou,海口
杭州,hzd,0,HGH,Hangzhoudong,杭州东
杭州,hz,0,HZH,Hangzhou,杭州
杭州,hzn,0,XHH,Hangzhounan,杭州南
济南,jn,0,JNK,Jinan,济南
济南,jnd,0,JAK,Jinandong,济南东
济南,jnx,0,JGK,Jinanxi,济南西
昆明,km,0,KMM,Kunming,昆明
昆明,kmx,0,KXM,Kunmingxi,昆明西
拉萨,ls,0,LSO,Lasa,拉萨
兰州,lzd,0,LVJ,Lanzhoudong,兰州东
兰州,lz,0,LZJ,Lanzhou,兰州
兰州,lzx,0,LAJ,Lanzhouxi,兰州西
南昌,nc,0,NCG,Nanchang,南昌
南京,nj,0,NJH,Nanjing,南京
南京,njn,0,NKH,Nanjingnan,南京南
南宁,nn,0,NNZ,Nanning,南宁
石家庄,sjzb,0,VVP,Shijiazhuangbei,石家庄北
石家庄,sjz,0,SJP,Shijiazhuang,石家庄
沈阳,sy,0,SYT,Shenyang,沈阳
沈阳,syb,0,SBT,Shenyangbei,沈阳北
沈阳,syd,0,SDT,Shenyangdong,沈阳东
太原,tyb,0,TBV,Taiyuanbei,太原北
太原,tyd,0,TDV,Taiyuandong,太原东
太原,ty,0,TYV,Taiyuan,太原
武汉,wh,0,WHN,Wuhan,武汉
昆明,wjyx,0,KNM,Wangjiayingxi,王家营西
乌鲁木齐,wlmqn,0,WMR,Wulumuqinan,乌鲁木齐南
西安,xab,0,EAY,Xi'anbei,西安北
西安,xa,0,XAY,Xi'an,西安
西安,xan,0,CAY,Xi'annan,西安南
西宁,xn,0,XNO,Xining,西宁
银川,yc,0,YIJ,Yinchuan,银川
郑州,zz,0,ZZF,Zhengzhou,郑州
阿尔山,aes,0,ART,A'ershan,阿尔山
安康,ak,0,AKY,Ankang,安康
阿克苏,aks,0,ASR,Akesu,阿克苏
阿里河,alh,0,AHX,Alihe,阿里河
博乐,alsk,0,AKR,Alashankou,阿拉山口
辽阳,ap,0,APT,Anping,安平
安庆,aq,0,AQH,Anqing,安庆
安顺,as,0,ASW,Anshun,安顺
鞍山,as,0,AST,Anshan,鞍山
安阳,ay,0,AYF,Anyang,安阳
北安,ba,0,BAB,Bei'an,北安
蚌埠,bb,0,BBH,Bengbu,蚌埠
白城,bc,0,BCT,Baicheng,白城
北海,bh,0,BHZ,Beihai,北海
安图,bh,0,BEL,Baihe,白河
涞水,bj,0,BAP,Baijian,白涧
宝鸡,bj,0,BJY,Baoji,宝鸡
哈尔滨,bj,0,BJB,Binjiang,滨江
博克图,bkt,0,BKX,Boketu,博克图
百色,bs,0,BIZ,Baise,百色
白山,bss,0,HJL,Baishanshi,白山市
本溪,bt,0,BTT,Beitai,北台
包头,btd,0,BDC,Baotoudong,包头东
包头,bt,0,BTC,Baotou,包头
北屯市,bts,0,BXR,Beitunshi,北屯市
本溪,bx,0,BXT,Benxi,本溪
白云鄂博,byeb,0,BEC,Baiyun'ebo,白云鄂博
白银,byx,0,BXJ,Baiyinxi,白银西
亳州,bz,0,BZH,Bozhou,亳州
赤壁,cb,0,CBN,Chibi,赤壁
常德,cd,0,VGQ,Changde,常德
承德,cd,0,CDP,Chengde,承德
丹东,cd,0,CDT,Changdian,长甸
赤峰,cf,0,CFD,Chifeng,赤峰
茶陵,cl,0,CDG,Chaling,茶陵
苍南,cn,0,CEH,Cangnan,苍南
北京,cp,0,CPP,Changping,昌平
崇仁,cr,0,CRG,Chongren,崇仁
昌图,ct,0,CTT,Changtu,昌图
长汀镇,ctz,0,CDB,Changtingzhen,长汀镇
曹县,cx,0,CXK,Caoxian,曹县
楚雄,cxn,0,COM,Chuxiongnan,楚雄南
沈阳,cxt,0,CXT,Chenxiangtun,陈相屯
长治,czb,0,CBF,Changzhibei,长治北
池州,cz,0,IYH,Chizhou,池州
长征,cz,0,CZJ,Changzheng,长征
常州,cz,0,CZH,Changzhou,常州
郴州,cz,0,CZQ,Chenzhou,郴州
长治,cz,0,CZF,Changzhi,长治
沧州,cz,0,COP,Cangzhou,沧州
崇左,cz,0,CZZ,Chongzuo,崇左
大安,dab,0,RNT,Da'anbei,大安北
沈阳,dc,0,DCT,Dacheng,大成
丹东,dd,0,DUT,Dandong,丹东
东方红,dfh,0,DFB,Dongfanghong,东方红
东莞,dgd,0,DMQ,Dongguandong,东莞东
黑山,dhs,0,DHD,Dahushan,大虎山
敦煌,dh,0,DHJ,Dunhuang,敦煌
敦化,dh,0,DHL,Dunhua,敦化
长春,dh,0,DHT,Dehui,德惠
东京城,djc,0,DJB,Dongjingcheng,东京城
大同,dj,0,DFP,Dajian,大涧
成都,djy,0,DDW,Dujiangyan,都江堰
大连,dlb,0,DFT,Dalianbei,大连北
大理,dl,0,DKM,Dali,大理
大连,dl,0,DLT,Dalian,大连
定南,dn,0,DNG,Dingnan,定南
大庆,dq,0,DZX,Daqing,大庆
鄂尔多斯,ds,0,DOC,Dongsheng,东胜
大石桥,dsq,0,DQT,Dashiqiao,大石桥
大同,dt,0,DTV,Datong,大同
东营,dy,0,DPK,Dongying,东营
大杨树,dys,0,DUX,Dayangshu,大杨树
都匀,dy,0,RYW,Duyun,都匀
邓州,dz,0,DOF,Dengzhou,邓州
达州,dz,0,RXW,Dazhou,达州
德州,dz,0,DZP,Dezhou,德州
额济纳旗,ejn,0,EJC,Ejina,额济纳
二连浩特,el,0,RLC,Erlian,二连
恩施,es,0,ESN,Enshi,恩施
福鼎,fd,0,FES,Fuding,福鼎
三亚,fhjc,0,FJQ,Fenghuangjichang,凤凰机场
芮城,fld,0,FLV,Fenglingdu,风陵渡
涪陵,fl,0,FLW,Fuling,涪陵
富拉尔基,flej,0,FRX,Fula'erji,富拉尔基
抚顺,fsb,0,FET,Fushunbei,抚顺北
佛山,fs,0,FSQ,Foshan,佛山
阜新,fxn,0,FXD,Fuxinnan,阜新南
阜阳,fy,0,FYH,Fuyang,阜阳
格尔木,gem,0,GRO,Ge'ermu,格尔木
广汉,gh,0,GHW,Guanghan,广汉
太原,gj,0,GJV,Gujiao,古交
桂林,glb,0,GBZ,Guilinbei,桂林北
古莲,gl,0,GRX,Gulian,古莲
桂林,gl,0,GLZ,Guilin,桂林
固始,gs,0,GXN,Gushi,固始
广水,gs,0,GSN,Guangshui,广水
中卫,gt,0,GNJ,Gantang,干塘
广元,gy,0,GYW,Guangyuan,广元
广州,gzb,0,GBQ,Guangzhoubei,广州北
赣州,gz,0,GZG,Ganzhou,赣州
公主岭,gzl,0,GLT,Gongzhuling,公主岭
公主岭,gzln,0,GBT,Gongzhulingnan,公主岭南
淮安,ha,0,AUH,Huai'an,淮安
淮北,hb,0,HRH,Huaibei,淮北
鹤北,hb,0,HMB,Hebei,鹤北
淮滨,hb,0,HVN,Huaibin,淮滨
定襄,hb,0,HBV,Hebian,河边
潢川,hc,0,KCN,Huangchuan,潢川
韩城,hc,0,HCY,Hancheng,韩城
邯郸,hd,0,HDP,Handan,邯郸
横道河子,hdhz,0,HDB,Hengdaohezi,横道河子
鹤岗,hg,0,HGB,Hegang,鹤岗
沈阳,hgt,0,HTT,Huanggutun,皇姑屯
盘县,hg,0,HEM,Hongguo,红果
黑河,hh,0,HJB,Heihe,黑河
怀化,hh,0,HHQ,Huaihua,怀化
武汉,hk,0,HKN,Hankou,汉口
葫芦岛,hld,0,HLD,Huludao,葫芦岛
海拉尔,hle,0,HRX,Haila'er,海拉尔
霍林郭勒,hlgl,0,HWD,Huolinguole,霍林郭勒
海伦,hl,0,HLB,Hailun,海伦
侯马,hm,0,HMV,Houma,侯马
哈密,hm,0,HMR,Hami,哈密
淮南,hn,0,HAH,Huainan,淮南
桦南,hn,0,HNB,Huanan,桦南
海宁,hnx,0,EUH,Hainingxi,海宁西
鹤庆,hq,0,HQM,Heqing,鹤庆
北京,hrb,0,HBP,Huairoubei,怀柔北
北京,hr,0,HRP,Huairou,怀柔
黄石,hsd,0,OSN,Huangshidong,黄石东
华阴,hs,0,HSY,Huashan,华山
黄山,hs,0,HKH,Huangshan,黄山
黄石,hs,0,HSN,Huangshi,黄石
衡水,hs,0,HSP,Hengshui,衡水
衡阳,hy,0,HYQ,Hengyang,衡阳
菏泽,hz,0,HIK,Heze,菏泽
贺州,hz,0,HXZ,Hezhou,贺州
汉中,hz,0,HOY,Hanzhong,汉中
